slot,property,sample_type,value
CAS,title,other-undescribed,CAS number
CAS,description,other-undescribed,A unique numerical identifier assigned by the Chemical Abstract Service (CAS) a division of the American Chemical Society to chemical compounds polymers biological sequences mixtures and alloys.
CAS,type,other-undescribed,string
LIMS_ID,title,monet-soil,LIMS ID
LIMS_ID,description,monet-soil,An EMSL internal LIMS identifier for your sample. This will be provided by the MPOC and should not be edited.
LIMS_ID,type,monet-soil,string
agrochem_addition,title,other-undescribed,agrochemical addition
agrochem_addition,title,soil,agrochemical addition
agrochem_addition,title,monet-soil,agrochemical additions
agrochem_addition,description,other-undescribed,Addition of fertilizers pesticides etc. - amount and time of applications
agrochem_addition,description,soil,Addition of fertilizers pesticides etc. - amount and time of applications
agrochem_addition,description,monet-soil,Addition of fertilizers pesticides etc. - amount and time of applications
agrochem_addition,type,other-undescribed,string
agrochem_addition,type,soil,string
agrochem_addition,type,monet-soil,string
air_temp_regm,title,field-deployed-terraform,air temperature regimen
air_temp_regm,title,other-undescribed,air temperature regimen
air_temp_regm,title,soil,air temperature regimen
air_temp_regm,title,water,air temperature regimen
air_temp_regm,title,aerosol,air temperature regimen
air_temp_regm,title,aerosol-arm,air temperature regimen
air_temp_regm,title,pure-culture,air temperature regimen
air_temp_regm,title,culture-environmental,air temperature regimen
air_temp_regm,title,mixed-culture,air temperature regimen
air_temp_regm,title,sediment,air temperature regimen
air_temp_regm,title,terraform,air temperature regimen
air_temp_regm,title,plant,air temperature regimen
air_temp_regm,description,field-deployed-terraform,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,other-undescribed,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,soil,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,water,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,aerosol,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,aerosol-arm,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,pure-culture,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,culture-environmental,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,mixed-culture,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,sediment,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,terraform,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,plant,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,type,field-deployed-terraform,string
air_temp_regm,type,other-undescribed,string
air_temp_regm,type,soil,string
air_temp_regm,type,water,string
air_temp_regm,type,aerosol,string
air_temp_regm,type,aerosol-arm,string
air_temp_regm,type,pure-culture,string
air_temp_regm,type,culture-environmental,string
air_temp_regm,type,mixed-culture,string
air_temp_regm,type,sediment,string
air_temp_regm,type,terraform,string
air_temp_regm,type,plant,string
al_sat,title,other-undescribed,aluminum saturation
al_sat,title,soil,aluminum saturation
al_sat,description,other-undescribed,Aluminum saturation (esp. For tropical soils)
al_sat,description,soil,Aluminum saturation (esp. For tropical soils) (Unit: percent)
al_sat,type,other-undescribed,string
al_sat,type,soil,string
al_sat_meth,title,other-undescribed,aluminum saturation method
al_sat_meth,title,soil,aluminum saturation method
al_sat_meth,description,other-undescribed,Reference or method used in determining Al saturation
al_sat_meth,description,soil,Reference or method used in determining Al saturation
al_sat_meth,type,other-undescribed,string
al_sat_meth,type,soil,string
alkalinity,title,other-undescribed,alkalinity
alkalinity,title,water,alkalinity
alkalinity,title,sediment,alkalinity
alkalinity,description,other-undescribed,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
alkalinity,description,water,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate (Unit: mg/L or meq/L)
alkalinity,description,sediment,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate (Unit: mg/L or meq/L)
alkalinity,type,other-undescribed,string
alkalinity,type,water,string
alkalinity,type,sediment,string
alkalinity_method,title,other-undescribed,alkalinity method
alkalinity_method,title,water,alkalinity method
alkalinity_method,title,sediment,alkalinity method
alkalinity_method,description,other-undescribed,Method used for alkalinity measurement
alkalinity_method,description,water,Method used for alkalinity measurement
alkalinity_method,description,sediment,Method used for alkalinity measurement
alkalinity_method,type,other-undescribed,string
alkalinity_method,type,water,string
alkalinity_method,type,sediment,string
alkyl_diethers,title,other-undescribed,alkyl diethers
alkyl_diethers,title,water,alkyl diethers
alkyl_diethers,title,sediment,alkyl diethers concentration
alkyl_diethers,description,other-undescribed,Concentration of alkyl diethers
alkyl_diethers,description,water,Concentration of alkyl diethers. Provide value and unit any unit is valid
alkyl_diethers,description,sediment,Concentration of alkyl diethers. Provide value and unit any unit is valid
alkyl_diethers,type,other-undescribed,string
alkyl_diethers,type,water,string
alkyl_diethers,type,sediment,string
alt,title,other-undescribed,altitude
alt,title,aerosol,altitude
alt,title,aerosol-arm,altitude
alt,title,culture-environmental,altitude
alt,description,other-undescribed,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
alt,description,aerosol,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air. For ARM this can be a range. (Unit: m)
alt,description,aerosol-arm,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air Required units be provided as 'm' for meters.
alt,description,culture-environmental,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air. For ARM this can be a range. (Unit: m)
alt,type,other-undescribed,string
alt,type,aerosol,string
alt,type,aerosol-arm,string
alt,type,culture-environmental,string
aminopept_act,title,other-undescribed,aminopeptidase activity
aminopept_act,title,water,aminopeptidase activity
aminopept_act,title,sediment,aminopeptidase activity
aminopept_act,description,other-undescribed,Measurement of aminopeptidase activity
aminopept_act,description,water,Measurement of aminopeptidase activity (Unit: mol/L/h
aminopept_act,description,sediment,Measurement of aminopeptidase activity (Unit: mol/L/h
aminopept_act,type,other-undescribed,string
aminopept_act,type,water,string
aminopept_act,type,sediment,string
ammonium,title,other-undescribed,ammonium
ammonium,title,water,ammonium
ammonium,title,sediment,ammonium concentration
ammonium,description,other-undescribed,Concentration of ammonium in the sample
ammonium,description,water,Concentration of ammonium in the sample. (Units: umol/L or mg/Liter or ppm
ammonium,description,sediment,Concentration of ammonium in the sample. (Units: umol/L or mg/Liter or ppm
ammonium,type,other-undescribed,string
ammonium,type,water,string
ammonium,type,sediment,string
analysis_type,title,field-deployed-terraform,analysis type
analysis_type,title,other-undescribed,analysis type
analysis_type,title,soil,analysis type
analysis_type,title,water,analysis type
analysis_type,title,aerosol,analysis type
analysis_type,title,aerosol-arm,analysis type
analysis_type,title,pure-culture,analysis type
analysis_type,title,culture-environmental,analysis type
analysis_type,title,commercially-purchased,analysis type
analysis_type,title,mixed-culture,analysis type
analysis_type,title,sediment,analysis type
analysis_type,title,terraform,analysis type
analysis_type,title,synthesized-material,analysis type
analysis_type,title,plant,analysis type
analysis_type,description,field-deployed-terraform,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,other-undescribed,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ";".
analysis_type,description,soil,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,water,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,aerosol,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,aerosol-arm,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,pure-culture,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,culture-environmental,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,commercially-purchased,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
