slot,property,value,sample_type_count,sample_types,primary_or_modification
agrochem_addition,description,Addition of fertilizers pesticides etc. - amount and time of applications,3,"other-undescribed, soil, monet-soil",primary
agrochem_addition,title,agrochemical addition,2,"other-undescribed, soil",primary
agrochem_addition,title,agrochemical additions,1,monet-soil,modification
agrochem_addition,type,string,3,"other-undescribed, soil, monet-soil",primary
air_temp_regm,description,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
air_temp_regm,title,air temperature regimen,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
air_temp_regm,type,string,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
al_sat,description,Aluminum saturation (esp. For tropical soils),1,other-undescribed,primary
al_sat,description,Aluminum saturation (esp. For tropical soils) (Unit: percent),1,soil,modification
al_sat,pattern,^\d+(\.\d+)?\s*percent$,1,soil,modification
al_sat,title,aluminum saturation,2,"other-undescribed, soil",primary
al_sat,type,string,2,"other-undescribed, soil",primary
al_sat_meth,description,Reference or method used in determining Al saturation,2,"other-undescribed, soil",primary
al_sat_meth,title,aluminum saturation method,2,"other-undescribed, soil",primary
al_sat_meth,type,string,2,"other-undescribed, soil",primary
alkalinity,description,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate,1,other-undescribed,modification
alkalinity,description,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate (Unit: mg/L or meq/L),2,"water, sediment",primary
alkalinity,pattern,^\d+(\.\d+)?\s*(mg|meq)/L$,2,"water, sediment",primary
alkalinity,title,alkalinity,3,"other-undescribed, water, sediment",primary
alkalinity,type,string,3,"other-undescribed, water, sediment",primary
alkalinity_method,description,Method used for alkalinity measurement,3,"other-undescribed, water, sediment",primary
alkalinity_method,title,alkalinity method,3,"other-undescribed, water, sediment",primary
alkalinity_method,type,string,3,"other-undescribed, water, sediment",primary
alkyl_diethers,description,Concentration of alkyl diethers,1,other-undescribed,modification
alkyl_diethers,description,Concentration of alkyl diethers. Provide value and unit any unit is valid,2,"water, sediment",primary
alkyl_diethers,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,2,"water, sediment",primary
alkyl_diethers,title,alkyl diethers,2,"other-undescribed, water",primary
alkyl_diethers,title,alkyl diethers concentration,1,sediment,modification
alkyl_diethers,type,string,3,"other-undescribed, water, sediment",primary
alt,description,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air,1,other-undescribed,modification
alt,description,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air Required units be provided as 'm' for meters.,1,aerosol-arm,modification
alt,description,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air. For ARM this can be a range. (Unit: m),2,"aerosol, culture-environmental",primary
alt,pattern,^\d+(\.\d+)?\s*m$,1,aerosol-arm,modification
alt,pattern,^\d+(\.\d+)?m(?:-\d+(\.\d+)?m)?$,2,"aerosol, culture-environmental",primary
alt,title,altitude,4,"other-undescribed, aerosol, aerosol-arm, culture-environmental",primary
alt,type,string,4,"other-undescribed, aerosol, aerosol-arm, culture-environmental",primary
aminopept_act,description,Measurement of aminopeptidase activity,1,other-undescribed,modification
aminopept_act,description,Measurement of aminopeptidase activity (Unit: mol/L/h,2,"water, sediment",primary
aminopept_act,pattern,^\d+(\.\d+)?\s*mol/L/h$,2,"water, sediment",primary
aminopept_act,title,aminopeptidase activity,3,"other-undescribed, water, sediment",primary
aminopept_act,type,string,3,"other-undescribed, water, sediment",primary
ammonium,description,Concentration of ammonium in the sample,1,other-undescribed,modification
ammonium,description,Concentration of ammonium in the sample. (Units: umol/L or mg/Liter or ppm,2,"water, sediment",primary
ammonium,pattern,^\d+(\.\d+)?\s*(umol/L|mg/L|ppm)$,2,"water, sediment",primary
ammonium,title,ammonium,2,"other-undescribed, water",primary
ammonium,title,ammonium concentration,1,sediment,modification
ammonium,type,string,3,"other-undescribed, water, sediment",primary
analysis_type,description,"The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a "";"".",1,other-undescribed,modification
analysis_type,description,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.,13,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
analysis_type,enum,metabolome|proteome|lipidome|organic matter|molecular structure|chemical speciation mapping|genome|transcriptome|isotope profiling|imaging- xray|imaging- electron|imaging- ion|imaging- light|hydraulic properties|unknown,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
analysis_type,title,analysis type,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
analysis_type,type,string,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
ances_data,description,Information about either pedigree or other ancestral information description,2,"other-undescribed, plant",primary
ances_data,title,ancestral data,2,"other-undescribed, plant",primary
ances_data,type,string,2,"other-undescribed, plant",primary
annual_precpt,description,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm),7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_precpt,pattern,^\d+(\.\d+)?\s*mm$,7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_precpt,title,annual precipitation,2,"aerosol, aerosol-arm",modification
annual_precpt,title,average annual precipitation,4,"other-undescribed, soil, sediment, monet-soil",primary
annual_precpt,title,mean annual precipitation,1,plant,modification
annual_precpt,type,string,7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
