plate_barcode,position,well_type,replicate_group,media_ref_override,media_volume_ul,inoculum_volume_ul,sample_id,strain_arm,violation_note
EPix1-complex,A1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-A1,KT2440,
EPix1-complex,A2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-A2,KT2440,
EPix1-complex,A3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,,KT2440-A3,KT2440,[C5] inoculum_volume_ul missing (required)
EPix1-complex,A4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-A4,KT2440,
EPix1-complex,A5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-A5,KT2440,
EPix1-complex,A6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-A6,KT2440,
EPix1-complex,A7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-A7,BL21,
EPix1-complex,A8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-A8,BL21,
EPix1-complex,A9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-A9,BL21,
EPix1-complex,A10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-A10,BL21,
EPix1-complex,A11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-A11,BL21,
EPix1-complex,A12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-A12,BL21,
EPix1-complex,B1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-B1,KT2440,
EPix1-complex,B2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-B2,KT2440,
EPix1-complex,B3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-B3,KT2440,
EPix1-complex,B4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-B4,KT2440,
EPix1-complex,B5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-B5,KT2440,
EPix1-complex,B6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-B6,KT2440,
EPix1-complex,B7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,,BL21-B7,BL21,[C5] inoculum_volume_ul missing (required)
EPix1-complex,B8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-B8,BL21,
EPix1-complex,B9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-B9,BL21,
EPix1-complex,B10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-B10,BL21,
EPix1-complex,B11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-B11,BL21,
EPix1-complex,B12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-B12,BL21,
EPix1-complex,C1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-C1,KT2440,
EPix1-complex,C2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-C2,KT2440,
EPix1-complex,C3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-C3,KT2440,
