product_id,plate_barcode,timepoint_label,position,value,flag,violation_note
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A1,0.0684,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A2,0.0789,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A3,0.0681,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A4,0.0676,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A5,0.0672,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A6,0.0729,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A7,0.0833,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A8,0.0672,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A9,0.0668,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A10,0.0676,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A11,0.0697,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,A12,0.0665,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B1,0.0679,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B2,0.0712,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B3,0.2862,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B4,0.0685,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B5,0.0693,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B6,0.0693,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B7,0.2143,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B8,0.0682,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B9,0.0686,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B10,0.0910,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B11,0.0690,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,B12,0.0671,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C1,0.0689,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C2,0.0695,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C3,0.0693,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C4,0.0684,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C5,0.0675,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C6,0.0677,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C7,0.0672,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C8,0.0685,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C9,0.0676,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C10,0.0679,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C11,0.0677,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,C12,0.0680,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D1,0.0741,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D2,0.1551,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D3,0.0683,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D4,0.1079,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D5,0.3321,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D6,0.0677,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D7,0.0686,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D8,0.0697,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D9,0.0680,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D10,0.0700,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D11,0.0687,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,D12,0.0677,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E1,0.1407,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E2,0.0673,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E3,0.0694,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E4,0.0684,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E5,0.0853,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E6,0.1326,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E7,0.0705,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E8,0.3191,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E9,0.0671,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E10,0.0741,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E11,0.0723,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,E12,0.1230,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F1,0.0709,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F2,0.0678,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F3,0.1221,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F4,0.0782,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F5,0.3594,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F6,0.1341,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F7,0.0793,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F8,0.0734,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F9,0.1124,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F10,0.0774,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F11,0.0762,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,F12,0.0959,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G1,1.2251,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G2,0.0682,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G3,0.0733,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G4,0.0680,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G5,0.1302,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G6,0.0739,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G7,0.0685,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G8,0.1044,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G9,0.0742,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G10,0.0756,ok,
urn:amp2:prod:complex-t0,EPix1-complex,t=0,G11,0.0733,ok,
