plate_barcode,position,well_type,replicate_group,media_volume_ul,inoculum_volume_ul,sample_id,media_ref_override
EPix1,A1,sample,rep_1,180.0,20.0,KT2440-A1,
EPix1,A2,sample,rep_2,180.0,20.0,KT2440-A2,
EPix1,A3,sample,rep_3,180.0,20.0,KT2440-A3,
EPix1,A4,sample,rep_4,180.0,20.0,KT2440-A4,
EPix1,A5,sample,rep_5,180.0,20.0,KT2440-A5,
EPix1,A6,sample,rep_6,180.0,20.0,KT2440-A6,
EPix1,A7,sample,rep_7,180.0,20.0,KT2440-A7,
EPix1,A8,sample,rep_8,180.0,20.0,KT2440-A8,
EPix1,A9,sample,rep_9,180.0,20.0,KT2440-A9,
EPix1,A10,sample,rep_10,180.0,20.0,KT2440-A10,
EPix1,A11,sample,rep_11,180.0,20.0,KT2440-A11,
EPix1,A12,sample,rep_12,180.0,20.0,KT2440-A12,
EPix1,B1,sample,rep_1,180.0,20.0,KT2440-B1,
EPix1,B2,sample,rep_2,180.0,20.0,KT2440-B2,
EPix1,B3,sample,rep_3,180.0,20.0,KT2440-B3,
EPix1,B4,sample,rep_4,180.0,20.0,KT2440-B4,
EPix1,B5,sample,rep_5,180.0,20.0,KT2440-B5,
EPix1,B6,sample,rep_6,180.0,20.0,KT2440-B6,
EPix1,B7,sample,rep_7,180.0,20.0,KT2440-B7,
EPix1,B8,sample,rep_8,180.0,20.0,KT2440-B8,
EPix1,B9,sample,rep_9,180.0,20.0,KT2440-B9,
EPix1,B10,sample,rep_10,180.0,20.0,KT2440-B10,
EPix1,B11,sample,rep_11,180.0,20.0,KT2440-B11,
EPix1,B12,sample,rep_12,180.0,20.0,KT2440-B12,
EPix1,C1,sample,rep_1,180.0,20.0,KT2440-C1,
EPix1,C2,sample,rep_2,180.0,20.0,KT2440-C2,
EPix1,C3,sample,rep_3,180.0,20.0,KT2440-C3,
EPix1,C4,sample,rep_4,180.0,20.0,KT2440-C4,
EPix1,C5,sample,rep_5,180.0,20.0,KT2440-C5,
EPix1,C6,sample,rep_6,180.0,20.0,KT2440-C6,
EPix1,C7,sample,rep_7,180.0,20.0,KT2440-C7,
EPix1,C8,sample,rep_8,180.0,20.0,KT2440-C8,
EPix1,C9,sample,rep_9,180.0,20.0,KT2440-C9,
EPix1,C10,sample,rep_10,180.0,20.0,KT2440-C10,
EPix1,C11,sample,rep_11,180.0,20.0,KT2440-C11,
EPix1,C12,sample,rep_12,180.0,20.0,KT2440-C12,
EPix1,D1,sample,rep_1,180.0,20.0,KT2440-D1,
EPix1,D2,sample,rep_2,180.0,20.0,KT2440-D2,
EPix1,D3,sample,rep_3,180.0,20.0,KT2440-D3,
EPix1,D4,sample,rep_4,180.0,20.0,KT2440-D4,
EPix1,D5,sample,rep_5,180.0,20.0,KT2440-D5,
EPix1,D6,sample,rep_6,180.0,20.0,KT2440-D6,
EPix1,D7,sample,rep_7,180.0,20.0,KT2440-D7,
EPix1,D8,sample,rep_8,180.0,20.0,KT2440-D8,
EPix1,D9,sample,rep_9,180.0,20.0,KT2440-D9,
EPix1,D10,sample,rep_10,180.0,20.0,KT2440-D10,
EPix1,D11,sample,rep_11,180.0,20.0,KT2440-D11,
EPix1,D12,sample,rep_12,180.0,20.0,KT2440-D12,
EPix1,E1,sample,rep_1,180.0,20.0,KT2440-E1,
EPix1,E2,sample,rep_2,180.0,20.0,KT2440-E2,
EPix1,E3,sample,rep_3,180.0,20.0,KT2440-E3,
EPix1,E4,sample,rep_4,180.0,20.0,KT2440-E4,
EPix1,E5,sample,rep_5,180.0,20.0,KT2440-E5,
EPix1,E6,sample,rep_6,180.0,20.0,KT2440-E6,
EPix1,E7,sample,rep_7,180.0,20.0,KT2440-E7,
EPix1,E8,sample,rep_8,180.0,20.0,KT2440-E8,
EPix1,E9,sample,rep_9,180.0,20.0,KT2440-E9,
EPix1,E10,sample,rep_10,180.0,20.0,KT2440-E10,
EPix1,E11,sample,rep_11,180.0,20.0,KT2440-E11,
EPix1,E12,sample,rep_12,180.0,20.0,KT2440-E12,
EPix1,F1,sample,rep_1,180.0,20.0,KT2440-F1,
EPix1,F2,sample,rep_2,180.0,20.0,KT2440-F2,
EPix1,F3,sample,rep_3,180.0,20.0,KT2440-F3,
EPix1,F4,sample,rep_4,180.0,20.0,KT2440-F4,
EPix1,F5,sample,rep_5,180.0,20.0,KT2440-F5,
EPix1,F6,sample,rep_6,180.0,20.0,KT2440-F6,
EPix1,F7,sample,rep_7,180.0,20.0,KT2440-F7,
EPix1,F8,sample,rep_8,180.0,20.0,KT2440-F8,
EPix1,F9,sample,rep_9,180.0,20.0,KT2440-F9,
EPix1,F10,sample,rep_10,180.0,20.0,KT2440-F10,
EPix1,F11,sample,rep_11,180.0,20.0,KT2440-F11,
EPix1,F12,sample,rep_12,180.0,20.0,KT2440-F12,
EPix1,G1,sample,rep_1,180.0,20.0,KT2440-G1,
EPix1,G2,sample,rep_2,180.0,20.0,KT2440-G2,
EPix1,G3,sample,rep_3,180.0,20.0,KT2440-G3,
EPix1,G4,sample,rep_4,180.0,20.0,KT2440-G4,
EPix1,G5,sample,rep_5,180.0,20.0,KT2440-G5,
EPix1,G6,sample,rep_6,180.0,20.0,KT2440-G6,
EPix1,G7,sample,rep_7,180.0,20.0,KT2440-G7,
EPix1,G8,sample,rep_8,180.0,20.0,KT2440-G8,
EPix1,G9,sample,rep_9,180.0,20.0,KT2440-G9,
EPix1,G10,sample,rep_10,180.0,20.0,KT2440-G10,
EPix1,G11,sample,rep_11,180.0,20.0,KT2440-G11,
EPix1,G12,sample,rep_12,180.0,20.0,KT2440-G12,
EPix1,H1,blank,,200.0,0.0,,
EPix1,H2,blank,,200.0,0.0,,
EPix1,H3,blank,,200.0,0.0,,
EPix1,H4,blank,,200.0,0.0,,
EPix1,H5,blank,,200.0,0.0,,
EPix1,H6,blank,,200.0,0.0,,
EPix1,H7,blank,,200.0,0.0,,
EPix1,H8,blank,,200.0,0.0,,
EPix1,H9,blank,,200.0,0.0,,
EPix1,H10,blank,,200.0,0.0,,
EPix1,H11,blank,,200.0,0.0,,
EPix1,H12,blank,,200.0,0.0,,
